term_id,term_str,n,num,pos_max,stop,p_stem
7371,three,57,0,CD,0,three
7372,throats,1,0,NN,0,throat
7373,through,95,0,IN,1,through
7374,throughout,23,0,IN,0,throughout
7375,throw,2,0,VB,0,throw
7376,throwing,1,0,VBG,0,throw
7377,throws,1,0,VBZ,0,throw
7378,thunder,1,0,NN,0,thunder
7379,thursday,1,0,NNP,0,thursday
7380,thus,7,0,RB,0,thu
7381,tick,1,0,NN,0,tick
7382,ticket,2,0,NN,0,ticket
7383,tickets,1,0,NN,0,ticket
7384,tied,6,0,VBN,0,tie
7385,tiempo,30,0,NNP,0,tiempo
7386,ties,1,0,NNS,0,tie
7387,tiger,1,0,NNP,0,tiger
7388,tila,1,0,NNP,0,tila
7389,tiled,1,0,JJ,0,tile
7390,till,1,0,RB,0,till
7391,tim,7,0,NNP,0,tim
7392,time,135,0,NN,0,time
7393,timely,2,0,JJ,0,time
7394,times,41,0,NNS,0,time
7395,timid,2,0,JJ,0,timid
7396,timidly,2,0,NN,0,timidli
7397,timing,2,0,NN,0,time
7398,tips,1,0,NNS,0,tip
7399,tired,19,0,VBN,0,tire
7400,tires,1,0,NN,0,tire
7401,title,2,0,JJ,0,titl
7402,titled,1,0,NN,0,titl
7403,tlalmanalco,1,0,NNP,0,tlalmanalco
7404,tlapanecos,1,0,NNP,0,tlapaneco
7405,tlatelolco,1,0,NNP,0,tlatelolco
7406,tnt,1,0,NNP,0,tnt
7407,to,4322,0,TO,1,to
7408,toast,1,0,NN,0,toast
7409,tobacco,12,0,NN,0,tobacco
7410,today,58,0,NN,0,today
7411,todays,2,0,JJ,0,today
7412,together,43,0,RB,0,togeth
7413,tojolabales,3,0,NNP,0,tojolabal
7414,tojolobal,4,0,NNP,0,tojolob
7415,token,1,0,NN,0,token
7416,told,63,0,VBD,0,told
7417,tolerate,1,0,VB,0,toler
7418,tolerated,1,0,VBN,0,toler
7419,tomorrow,17,0,NN,0,tomorrow
7420,tomás,1,0,NNP,0,tomá
7421,ton,2,0,NN,0,ton
7422,tone,10,0,NN,0,tone
7423,tongue,3,0,NN,0,tongu
7424,tongues,1,0,NNS,0,tongu
7425,tonita,4,0,NNP,0,tonita
7426,tons,1,0,NNS,0,ton
7427,too,28,0,RB,1,too
7428,took,51,0,VBD,0,took
7429,tools,4,0,NNS,0,tool
7430,top,11,0,NN,0,top
7431,torn,1,0,VBN,0,torn
7432,tornado,1,0,NN,0,tornado
7433,torricelli,1,0,NNP,0,torricelli
7434,tortilla,1,0,NN,0,tortilla
7435,tortillas,4,0,NN,0,tortilla
7436,tortillerías,1,0,NNS,0,tortillería
7437,torture,7,0,NN,0,tortur
7438,tortured,5,0,NN,0,tortur
7439,torturing,2,0,JJ,0,tortur
7440,tossed,2,0,JJ,0,toss
7441,tostada,1,0,NN,0,tostada
7442,tostadas,1,0,NNS,0,tostada
7443,tostón,1,0,NN,0,tostón
7444,total,12,0,JJ,0,total
7445,totally,6,0,RB,0,total
7446,touch,8,0,VB,0,touch
7447,touched,6,0,VBN,0,touch
7448,touches,1,0,VBZ,0,touch
7449,touching,1,0,VBG,0,touch
7450,tour,1,0,NN,0,tour
7451,touristic,1,0,JJ,0,tourist
7452,tourists,2,0,NN,0,tourist
7453,toward,19,0,IN,0,toward
7454,towards,18,0,IN,0,toward
7455,tower,1,0,NNP,0,tower
7456,towers,1,0,NN,0,tower
